#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"101,714,157",,"1,112,797                                ",,"98,769,378",,"1,831,982","4,073","303,801","3,324","1,146,755,807","3,425,143","334,805,269 ",North America,,33010,,,"5,472"
2,India,"44,676,691",,"530,663                                ",,"44,141,017",,"5,011",698,"31,761",377,"908,641,514","645,970","1,406,631,776 ",Asia,,"312,6512",,,4
3,France,"38,745,523",,"160,228                                ",,"37,431,065",,"1,154,230",869,"590,772","2,443","271,490,188","4,139,547","65,584,518 ",Europe,,24090,,,"17,599"
4,Germany,"36,905,873",,"159,594                                ",,"36,193,900",,"552,379","1,406","439,965","1,903","122,332,384","1,458,359","83,883,596 ",Europe,,25261,,,"6,585"
5,Brazil,"35,809,832",,"691,652                                ",,"34,527,660",,"590,520","8,318","166,284","3,212","63,776,166","296,146","215,353,593 ",South America,,63113,,,"2,742"
6,S. Korea,"28,062,679","+66,953","31,298                                ",+66,"26,928,611","+22,269","1,102,770",474,"546,712",610,"15,804,065","307,892","51,329,899 ",Asia,,"21,6403","1,304",1,"21,484"
7,Japan,"26,668,251",,"52,564                                ",,"20,874,940",,"5,740,747",461,"212,352",419,"83,692,489","666,422","125,584,838 ",Asia,,"52,3892",,,"45,712"
8,Italy,"24,709,404",,"182,419                                ",,"24,003,910",,"523,075",335,"410,028","3,027","259,639,054","4,308,449","60,262,770 ",Europe,,23300,,,"8,680"
9,UK,"24,053,576",,"197,723                                ",,"23,789,969","+2,768","65,884",146,"351,158","2,887","522,526,476","7,628,357","68,497,907 ",Europe,,33460,,,962
10,Russia,"21,692,870",,"392,832                                ",,"21,088,668",,"211,370","2,300","148,779","2,694","273,400,000","1,875,095","145,805,947 ",Europe,,73711,,,"1,450"
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,,58431,,,"1,819"
12,Spain,"13,632,635",,"116,422                                ",,"13,422,605",,"93,608",339,"291,800","2,492","471,036,328","10,082,298","46,719,142 ",Europe,,34010,,,"2,004"
13,Vietnam,"11,522,097",,"43,179                                ",,"10,610,035",,"868,883",54,"116,439",436,"85,826,548","867,342","98,953,541 ",Asia,,"92,2921",,,"8,781"
14,Australia,"10,874,967",,"16,512                                ",,"10,546,102",,"312,353",91,"417,164",633,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,,"21,5790",,,"11,982"
15,Argentina,"9,766,975",,"130,041                                ",,"9,593,883",,"43,051",248,"212,278","2,826","35,716,069","776,264","46,010,234 ",South America,,53541,,,936
16,Netherlands,"8,553,219",,"22,939                                ",,"8,508,508","+1,053","21,772",33,"496,949","1,333","25,984,435","1,509,718","17,211,447 ",Europe,,27501,,,"1,265"
17,Taiwan,"8,531,911",,"14,796                                ",,"8,226,358",,"290,757",,"357,154",619,"28,852,829","1,207,808","23,888,595 ",Asia,,"31,6151",,,"12,171"
18,Iran,"7,560,323",,"144,659                                ",,"7,335,624",,"80,040",57,"87,887","1,682","54,420,785","632,632","86,022,837 ",Asia,,115952,,,930
19,Mexico,"7,174,464",,"330,743                                ",,"6,424,005",,"419,716","4,798","54,533","2,514","18,887,835","143,565","131,562,772 ",North America,,183987,,,"3,190"
20,Indonesia,"6,706,053",,"160,335                                ",,"6,512,294",,"33,424","2,771","24,024",574,"113,303,536","405,910","279,134,505 ",Asia,,"421,7412",,,120
